n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,trait,repeat,split_seed
11,4327,0.3592176247037558,0.4365749955177307,shapley_mean,-1,1,thr_tarsus,6,6014
12,4584,0.3267094294350586,0.4385010004043579,shapley_mean,-1,1,thr_tarsus,6,6014
13,5272,0.3288405469161095,0.4379496574401855,shapley_mean,-1,1,thr_tarsus,6,6014
14,5558,0.3772769256021974,0.4295313954353332,shapley_mean,-1,1,thr_tarsus,6,6014
1,117,0.1299556149248915,0.6107327938079834,shapley_mean,-1,1,thr_tarsus,7,7014
2,311,0.3475783815295154,0.5711385607719421,shapley_mean,-1,1,thr_tarsus,7,7014
3,484,0.3600278314303499,0.5713446736335754,shapley_mean,-1,1,thr_tarsus,7,7014
4,770,0.3068881020716818,0.5686430931091309,shapley_mean,-1,1,thr_tarsus,7,7014
5,1325,0.2564080488854959,0.5703005790710449,shapley_mean,-1,1,thr_tarsus,7,7014
6,1673,0.3002697002144367,0.5662984251976013,shapley_mean,-1,1,thr_tarsus,7,7014
7,2736,0.3946241153205747,0.5467332005500793,shapley_mean,-1,1,thr_tarsus,7,7014
8,3319,0.4174744361341463,0.541128396987915,shapley_mean,-1,1,thr_tarsus,7,7014
9,4007,0.3928897716789186,0.5441722869873047,shapley_mean,-1,1,thr_tarsus,7,7014
10,4264,0.3784742357883836,0.5416027903556824,shapley_mean,-1,1,thr_tarsus,7,7014
11,4416,0.3909180249115872,0.5389227271080017,shapley_mean,-1,1,thr_tarsus,7,7014
12,4999,0.3881555147048999,0.5383762717247009,shapley_mean,-1,1,thr_tarsus,7,7014
13,5395,0.404013327703556,0.5347404479980469,shapley_mean,-1,1,thr_tarsus,7,7014
14,5558,0.401956843488046,0.535194993019104,shapley_mean,-1,1,thr_tarsus,7,7014
1,117,0.1444555154919057,0.5206841230392456,shapley_mean,-1,1,thr_tarsus,8,8014
2,269,0.1741572458046405,0.5162002444267273,shapley_mean,-1,1,thr_tarsus,8,8014
3,463,0.3488763459155186,0.4930179715156555,shapley_mean,-1,1,thr_tarsus,8,8014
4,749,0.3239585319016905,0.4908938705921173,shapley_mean,-1,1,thr_tarsus,8,8014
5,1097,0.3692119037199911,0.4860471487045288,shapley_mean,-1,1,thr_tarsus,8,8014
6,2160,0.4400751706005811,0.4750566184520721,shapley_mean,-1,1,thr_tarsus,8,8014
7,2743,0.4425573599684535,0.4729200601577759,shapley_mean,-1,1,thr_tarsus,8,8014
8,3298,0.4094130205105735,0.4750911891460418,shapley_mean,-1,1,thr_tarsus,8,8014
9,3694,0.407311860830945,0.4739746153354645,shapley_mean,-1,1,thr_tarsus,8,8014
10,3867,0.4123577644049266,0.4715791940689087,shapley_mean,-1,1,thr_tarsus,8,8014
11,4450,0.3976038795857627,0.4719965755939483,shapley_mean,-1,1,thr_tarsus,8,8014
12,4613,0.3859548381344535,0.472972959280014,shapley_mean,-1,1,thr_tarsus,8,8014
13,5301,0.3742666311651924,0.4741653800010681,shapley_mean,-1,1,thr_tarsus,8,8014
14,5558,0.3896806232654455,0.4712407886981964,shapley_mean,-1,1,thr_tarsus,8,8014
1,117,0.0963877166692365,0.4946638643741607,shapley_mean,-1,1,thr_tarsus,9,9014
2,311,0.3035411028024052,0.4661426842212677,shapley_mean,-1,1,thr_tarsus,9,9014
3,597,0.280858390054761,0.4647360444068908,shapley_mean,-1,1,thr_tarsus,9,9014
4,945,0.347764373557883,0.4597266614437103,shapley_mean,-1,1,thr_tarsus,9,9014
5,1097,0.3787688690399542,0.4561785161495209,shapley_mean,-1,1,thr_tarsus,9,9014
6,1493,0.3973604261971579,0.4528131484985351,shapley_mean,-1,1,thr_tarsus,9,9014
7,2076,0.397989849174621,0.4489953517913818,shapley_mean,-1,1,thr_tarsus,9,9014
8,2659,0.3651560419545864,0.4502255618572235,shapley_mean,-1,1,thr_tarsus,9,9014
9,3347,0.3318472017275684,0.4541258215904236,shapley_mean,-1,1,thr_tarsus,9,9014
10,3520,0.3392379156655505,0.452484518289566,shapley_mean,-1,1,thr_tarsus,9,9014
11,4075,0.3153715231315347,0.4532076716423034,shapley_mean,-1,1,thr_tarsus,9,9014
12,4238,0.2986742169194177,0.4549408853054046,shapley_mean,-1,1,thr_tarsus,9,9014
13,5301,0.4415010889127482,0.4322291910648346,shapley_mean,-1,1,thr_tarsus,9,9014
14,5558,0.449609782849274,0.4287583529949188,shapley_mean,-1,1,thr_tarsus,9,9014
1,92,0.061561916068015,0.5323532819747925,shapley_mean,-1,2,thr_tarsus,0,14
2,440,0.0502071642047311,0.5292510390281677,shapley_mean,-1,2,thr_tarsus,0,14
3,557,0.1034668478308118,0.5258705019950867,shapley_mean,-1,2,thr_tarsus,0,14
4,730,0.1302790686678216,0.5237685441970825,shapley_mean,-1,2,thr_tarsus,0,14
5,1126,0.1515806227514839,0.5222820043563843,shapley_mean,-1,2,thr_tarsus,0,14
6,2189,0.1926466625825321,0.5169267058372498,shapley_mean,-1,2,thr_tarsus,0,14
7,2772,0.2108407349785836,0.5156950950622559,shapley_mean,-1,2,thr_tarsus,0,14
8,3355,0.1863826193734704,0.5175951719284058,shapley_mean,-1,2,thr_tarsus,0,14
9,3612,0.1882941369638866,0.5164738297462463,shapley_mean,-1,2,thr_tarsus,0,14
