trait,snp_experiment,snp_repeat,snp_seed,snp_selection_mode,num_snps_requested,n_features_available,n_features_fit,alpha,target_column,eval_target_column,standardize_features,min_count,fit_time_seconds,fold,pearson_r,test_island,test_island_code,test_island_original_label,n_train,n_test
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.60636859999795,4,0.3368673877715209,Selvær,3,24,5456,194
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.4435412000020733,5,0.21534270990031798,Gjerøy,4,26,5095,555
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.0656711000046926,6,0.19542897441688437,Hestmannøy,5,27,4587,1063
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.801381400000537,7,0.3081469097778655,Indre Kvarøy,6,28,5302,348
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.918783100001747,8,0.20864401041452502,Onøy og Lurøy,7,33,5393,257
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,4.1408846999984235,9,0.428871996542742,Lovund,8,34,5498,152
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,4.336076399995363,10,0.2715800871900006,Sleneset,9,35,5487,163
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,4.206869300003746,11,0.15114424473902355,Aldra,10,38,5477,173
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.4692592999927,12,0.2130622738616083,Leka,11,60,5067,583
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.499534999995376,13,0.1584402818173272,Vega,12,61,5254,396
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.464937700002338,14,0.0905126760193693,Vikna,13,63,5067,583
thr_tarsus,random_20k_snps,2,2014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.2849007999902824,15,0.13969507489186134,Lauvøya,14,67,4962,688
thr_tarsus,random_20k_snps,3,3014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,4.034885900007794,1,0.350731264095215,Nesøy,0,20,5533,117
thr_tarsus,random_20k_snps,3,3014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.9678874999954132,2,0.28752640021843423,Myken,1,22,5558,92
thr_tarsus,random_20k_snps,3,3014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.672446399999899,3,0.1989966521236479,Træna,2,23,5364,286
thr_tarsus,random_20k_snps,3,3014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.7191767000040272,4,0.2847937455490234,Selvær,3,24,5456,194
thr_tarsus,random_20k_snps,3,3014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.135437599994475,5,0.22072497993623716,Gjerøy,4,26,5095,555
