trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,11,Leka,6,Indre Kvarøy,349,0.0377218754438123,0.078059413317577,0.0001080856029908,0.000223665940738,10,4
thr_wing,11,Leka,7,Onøy og Lurøy,256,-0.0018453911407358,0.0543905151508283,-7.208559143499552e-06,0.0002124629498079,10,8
thr_wing,11,Leka,8,Lovund,151,0.0229798788124581,0.0261264173048982,0.000152184627897,0.0001730226311582,10,2
thr_wing,11,Leka,9,Sleneset,160,-0.0028694064708269,0.0448637554104617,-1.7933790442668184e-05,0.0002803984713153,10,10
thr_wing,11,Leka,10,Aldra,173,0.0245441941713886,0.0520629671958017,0.0001418739547479,0.0003009420069121,10,3
thr_wing,11,Leka,12,Vega,397,-0.0130198561359277,0.09079476430025,-3.279560739528406e-05,0.0002287021770787,10,11
thr_wing,11,Leka,13,Vikna,583,0.12486701757207,0.1164905235524537,0.0002141801330567,0.0001998122187863,10,1
thr_wing,11,Leka,14,Lauvøya,688,0.0731263328562955,0.1161913437316405,0.0001062882745004,0.0001688827670518,10,5
thr_wing,12,Vega,0,Nesøy,118,0.019272773006925,0.0304123117727488,0.0001633285848044,0.0002577314557012,10,1
thr_wing,12,Vega,1,Myken,92,0.0032631279832838,0.048155632707984,3.5468782426998584e-05,0.0005234307903041,10,9
thr_wing,12,Vega,2,Træna,286,0.0376636992718098,0.1039201895601856,0.0001316912561951,0.0003633573061544,10,2
thr_wing,12,Vega,3,Selvær,191,0.0091164093328262,0.0561336548463238,4.7729891794901695e-05,0.0002938934808708,10,7
thr_wing,12,Vega,4,Gjerøy,553,0.0253891797916854,0.0860275481910878,4.591171752565182e-05,0.0001555651866023,10,8
thr_wing,12,Vega,5,Hestmannøy,1055,0.0512881293024514,0.1213351869196563,4.8614340571044055e-05,0.000115009655848,10,6
