ringnr,island,score,rank
8N73221,12,-4.80058224638924e-06,433
8M31352,5,-4.794132109964266e-06,434
8N73628,13,-4.789154445461463e-06,435
8N73649,13,-4.78532592751435e-06,436
8934353,7,-4.783929853147129e-06,437
8934287,7,-4.7814987738092896e-06,438
8N06673,14,-4.7802654989936855e-06,439
8N14604,13,-4.766447545989649e-06,440
8N87160,10,-4.7653134060965385e-06,441
8M72806,4,-4.76514469482936e-06,442
8N05942,2,-4.757001079269685e-06,443
8L57988,13,-4.7455437197641e-06,444
8N87918,13,-4.742980763694504e-06,445
8N72369,4,-4.742480541608529e-06,446
8887448,5,-4.73636600872851e-06,447
8917954,2,-4.7350536078738514e-06,448
8794367,4,-4.732999514089897e-06,449
8651512,3,-4.718353011412546e-06,450
8N73606,14,-4.712125701189507e-06,451
8N14446,4,-4.709845597972162e-06,452
8732600,7,-4.709101631306112e-06,453
8981803,6,-4.70171880806447e-06,454
8L19693,2,-4.693456048698863e-06,455
8N06462,12,-4.6911072786315344e-06,456
8887356,10,-4.689903107646387e-06,457
8730444,1,-4.683588031184627e-06,458
8N05879,11,-4.6824115997878835e-06,459
8M72736,4,-4.677673587138997e-06,460
8N13479,8,-4.666112999984762e-06,461
8730938,3,-4.65921220893506e-06,462
8732531,9,-4.6482819016091526e-06,463
8N42144,2,-4.644639375328552e-06,464
8598631,2,-4.642773546947865e-06,465
8N73313,15,-4.635338882508222e-06,466
8651548,4,-4.631306637747912e-06,467
8L64327,2,-4.63112610304961e-06,468
8L48781,11,-4.6296895561681595e-06,469
8N05628,14,-4.627147518476704e-06,470
8943515,11,-4.626061127055436e-06,471
8N73465,11,-4.625504516297951e-06,472
8L30249,10,-4.622033884515986e-06,473
8M71447,13,-4.621874268195825e-06,474
8M71810,7,-4.62123080069432e-06,475
8L52352,11,-4.612548764271196e-06,476
8N42114,8,-4.6054692575125955e-06,477
8N73446,11,-4.589956006384455e-06,478
8N42637,5,-4.589308900904143e-06,479
8N87821,14,-4.587271632772172e-06,480
8981253,5,-4.574402282742085e-06,481
8M31328,5,-4.570150849758647e-06,482
8747606,5,-4.5659530769626144e-06,483
8N27070,14,-4.56442739960039e-06,484
8981280,5,-4.560508386930451e-06,485
8P11561,14,-4.5602851059811655e-06,486
8866658,8,-4.550593075691722e-06,487
8P14970,14,-4.544499461189844e-06,488
8N05109,12,-4.537869244813919e-06,489
8L48746,11,-4.536179403658025e-06,490
8N05146,12,-4.534224899543915e-06,491
8N13116,14,-4.533612809609622e-06,492
8981264,5,-4.530407295533223e-06,493
8887230,5,-4.524747055256739e-06,494
8P11429,1,-4.5245697037898935e-06,495
8L89641,4,-4.5226793190522585e-06,496
8P26917,15,-4.52015092378133e-06,497
8N87313,5,-4.518810783338267e-06,498
8939916,11,-4.514535703492584e-06,499
8N05271,13,-4.514487045526039e-06,500
8M72309,8,-4.50195511803031e-06,501
8N13114,14,-4.492677817324875e-06,502
8N05874,11,-4.488897957344307e-06,503
8939874,2,-4.480913048610091e-06,504
8N72674,11,-4.4778398660128005e-06,505
8M31212,11,-4.476925823837519e-06,506
8N87940,13,-4.471389729587827e-06,507
8934028,6,-4.469578016141895e-06,508
8N06941,4,-4.468658971745754e-06,509
8N72376,4,-4.45369823864894e-06,510
8N14287,15,-4.452087978279451e-06,511
8L64178,9,-4.4503235585580114e-06,512
8N27092,14,-4.4482767407316715e-06,513
8747424,5,-4.431603429111419e-06,514
8L64839,3,-4.429278760653688e-06,515
8N06866,11,-4.427856765687466e-06,516
8981708,5,-4.423435257194797e-06,517
8981180,11,-4.4066009650123306e-06,518
8981208,12,-4.406521838973276e-06,519
8L57857,9,-4.403900675242767e-06,520
8N87973,13,-4.383136911201291e-06,521
8N06495,12,-4.37525704910513e-06,522
8N73931,12,-4.374580839794362e-06,523
8P26537,9,-4.370610440673772e-06,524
8N05569,8,-4.361994342616526e-06,525
8681287,7,-4.359761987871025e-06,526
8N42735,4,-4.358675141702406e-06,527
8816428,1,-4.339925453678006e-06,528
8N06699,14,-4.336133770266315e-06,529
8981714,10,-4.333081960794516e-06,530
8N87273,8,-4.3300515244482085e-06,531
8M31438,4,-4.3276163523842115e-06,532
8573187,4,-4.323781013226835e-06,533
8P14815,14,-4.317438197176671e-06,534
8N42697,5,-4.3155241655767895e-06,535
8N73998,14,-4.315394562581787e-06,536
8N73656,13,-4.309577889216598e-06,537
8681370,5,-4.305116362957051e-06,538
8N06464,12,-4.303045443521114e-06,539
8N05671,15,-4.296617589716334e-06,540
8N05302,13,-4.294118298275862e-06,541
8P11550,14,-4.293432084523374e-06,542
8747295,9,-4.292458015697775e-06,543
8730902,6,-4.292255653126631e-06,544
8N05262,13,-4.27802478952799e-06,545
8P14808,14,-4.277823791198898e-06,546
8N73631,13,-4.275036189937964e-06,547
8N73619,13,-4.270485078450292e-06,548
8P15000,15,-4.270203589840094e-06,549
8L52345,11,-4.2675883378251456e-06,550
8N87579,11,-4.263297796569532e-06,551
8L30780,4,-4.26183987656259e-06,552
8L52393,12,-4.259937668393832e-06,553
8681290,7,-4.259195975464536e-06,554
8800340,7,-4.255710337019991e-06,555
8N42717,5,-4.255117346474435e-06,556
8N27691,5,-4.253995030012447e-06,557
8M71208,5,-4.250542588124517e-06,558
8P14866,15,-4.246063326718286e-06,559
8730509,5,-4.244896899763262e-06,560
8L30779,4,-4.236729637341341e-06,561
8N13651,14,-4.234799689584179e-06,562
8P14081,6,-4.224823442200432e-06,563
8N73831,5,-4.220858045300702e-06,564
8939534,5,-4.211949089949485e-06,565
8N05173,12,-4.206484845781233e-06,566
8943429,2,-4.205985078442609e-06,567
8N28687,5,-4.204113793093711e-06,568
8981273,5,-4.200148850941332e-06,569
8M31262,5,-4.200049716018839e-06,570
8N05226,12,-4.196545432932908e-06,571
8N06020,3,-4.194637313048588e-06,572
8N14550,11,-4.188548700767569e-06,573
8747722,5,-4.187292688584421e-06,574
8732647,5,-4.183776582067367e-06,575
8P14977,14,-4.183669716439908e-06,576
8N87823,14,-4.1765479181776755e-06,577
8N87518,11,-4.175122739979997e-06,578
8N87851,14,-4.172976787231164e-06,579
8M71256,5,-4.165215614193585e-06,580
8P14341,15,-4.161643119005021e-06,581
8N05261,13,-4.159787295066053e-06,582
8N73238,12,-4.158130195719423e-06,583
8981296,5,-4.156850081926677e-06,584
8N14119,4,-4.156679096922744e-06,585
8N87944,13,-4.145277216593968e-06,586
8L30162,12,-4.142447323829401e-06,587
8800095,6,-4.1407924982195254e-06,588
8L30766,12,-4.1390298974874895e-06,589
8981707,5,-4.137350970268017e-06,590
8887352,5,-4.136426923651015e-06,591
8N05627,14,-4.13103771279566e-06,592
8M31637,10,-4.1233488445868716e-06,593
8N73564,6,-4.117231128475396e-06,594
8747698,4,-4.115315732633462e-06,595
8681055,6,-4.112948317924747e-06,596
8N14594,11,-4.104187155462569e-06,597
8N73666,13,-4.103526407561731e-06,598
8P14974,14,-4.1025732571142726e-06,599
8L52221,8,-4.101293143321527e-06,600
8P26412,5,-4.100313617527718e-06,601
8N06674,14,-4.0965533116832376e-06,602
