trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind,source_lat,source_lon,target_lat,target_lon,geo_distance_km,phi_per_ind_1e4,shapley_sign
thr_wing,3,Selvær,0,Nesøy,118,0.0317911922520471,0.0297920541431932,0.0002694168834919,0.0002524750351118,10,3,66.574584,12.646056,66.586744,12.237925,18.088059525853904,2.694168834919,Positive
thr_wing,3,Selvær,1,Myken,92,0.0004775016640283,0.0678030163386395,5.190235478568536e-06,0.0007369893080286,10,11,66.760027,12.478567,66.586744,12.237925,21.98925342379559,0.05190235478568536,Positive
thr_wing,3,Selvær,2,Træna,286,0.1819646977900464,0.1412453565871325,0.000636240202063,0.0004938648831717,10,1,66.498248,12.082706,66.586744,12.237925,12.001480357297899,6.362402020629999,Positive
thr_wing,3,Selvær,4,Gjerøy,553,0.0057896263000114,0.046238854078919,1.0469486980129286e-05,8.361456433800917e-05,10,9,66.615165,13.023725,66.586744,12.237925,34.843669936832505,0.10469486980129286,Positive
thr_wing,3,Selvær,5,Hestmannøy,1055,0.1262374406696116,0.0837215772135676,0.0001196563418669,7.93569452261305e-05,10,5,66.536102,12.838656,66.586744,12.237925,27.160136758982777,1.196563418669,Positive
thr_wing,3,Selvær,6,Indre Kvarøy,349,0.0198484112756188,0.0827141425680916,5.687223861208848e-05,0.000237003273834,10,7,66.484892,12.945714,66.586744,12.237925,33.320994417271756,0.5687223861208848,Positive
thr_wing,3,Selvær,7,Onøy og Lurøy,256,-0.0187913160946047,0.0828220986953301,-7.340357849454963e-05,0.0003235238230286,10,13,66.406531,12.863522,66.586744,12.237925,34.222179676197506,-0.7340357849454963,Negative
thr_wing,3,Selvær,8,Lovund,151,0.052026378363103,0.0323228289252724,0.0003445455520735,0.0002140584697037,10,2,66.363291,12.339011,66.586744,12.237925,25.2486784861134,3.445455520735,Positive
thr_wing,3,Selvær,9,Sleneset,160,0.0380201358708343,0.0489220879842138,0.0002376258491927,0.0003057630499013,10,4,66.360922,12.595983,66.586744,12.237925,29.71691369237924,2.376258491927,Positive
thr_wing,3,Selvær,10,Aldra,173,0.0041102731105441,0.027514892872102,2.3758804107191865e-05,0.0001590456235381,10,8,66.408641,13.059615,66.586744,12.237925,41.47007846003094,0.23758804107191864,Positive
thr_wing,3,Selvær,11,Leka,581,0.0427148945932887,0.0454011290960526,7.351961203664158e-05,7.814307933916123e-05,10,6,65.08345,11.634547,66.586744,12.237925,169.39819240525358,0.7351961203664158,Positive
thr_wing,3,Selvær,12,Vega,397,-0.0645063751267505,0.0576418187350742,-0.0001624845721076,0.0001451934980732,10,14,65.657315,11.910286,66.586744,12.237925,104.39443539345504,-1.624845721076,Negative
thr_wing,3,Selvær,13,Vikna,583,0.0044006193909197,0.0406529033893094,7.548232231423191e-06,6.973053754598527e-05,10,10,64.905897,11.023292,66.586744,12.237925,194.9532977258153,0.07548232231423191,Positive
thr_wing,3,Selvær,14,Lauvøya,688,-0.0316774025688416,0.0392657204113577,-4.604273629192102e-05,5.707226803976414e-05,10,12,63.928508,9.933058,66.586744,12.237925,314.3929669088815,-0.4604273629192102,Negative
