source_island,target_island,source_island_name,target_island_name,geo_distance_km,phi_per_ind_mean,n_traits,phi_per_ind_1e4,shapley_sign
10,3,Aldra,Selvær,41.47007846003094,6.211915953058185e-05,3,0.6211915953058186,Positive
10,4,Aldra,Gjerøy,23.019468666790445,-5.458977272621704e-05,3,-0.5458977272621705,Negative
10,5,Aldra,Hestmannøy,17.23572101384943,6.240067758399748e-05,3,0.6240067758399748,Positive
10,6,Aldra,Indre Kvarøy,9.874360810502877,0.00024194721179601815,3,2.4194721179601815,Positive
10,7,Aldra,Onøy og Lurøy,8.729945463727077,0.0001518747116698,3,1.518747116698,Positive
10,8,Aldra,Lovund,32.49051914425014,0.00024800265491983336,3,2.4800265491983335,Positive
10,9,Aldra,Sleneset,21.32268294268066,-3.417635726909468e-05,3,-0.3417635726909468,Negative
10,11,Aldra,Leka,161.08169347609504,-6.896914632866667e-05,3,-0.6896914632866666,Negative
10,12,Aldra,Vega,98.35590063445129,1.0917776478286674e-05,3,0.10917776478286674,Positive
10,13,Aldra,Vikna,191.3741612522616,1.1496275514627935e-05,3,0.11496275514627935,Positive
10,14,Aldra,Lauvøya,311.9538045293238,-6.078968336243077e-07,3,-0.006078968336243077,Negative
11,0,Leka,Nesøy,172.07821192780375,3.8669101240071765e-05,3,0.3866910124007176,Positive
11,1,Leka,Myken,190.314131621147,1.9379048977429983e-05,3,0.19379048977429983,Positive
11,2,Leka,Træna,158.63916738173316,7.457611001767335e-06,3,0.07457611001767335,Positive
11,3,Leka,Selvær,169.39819240525358,3.850509100967921e-05,3,0.3850509100967921,Positive
11,4,Leka,Gjerøy,181.65582547188887,1.7611590852729703e-05,3,0.17611590852729703,Positive
11,5,Leka,Hestmannøy,170.5832403766758,-6.229954263222333e-08,3,-0.0006229954263222333,Negative
11,6,Leka,Indre Kvarøy,166.90519543760988,3.1240399532452856e-05,3,0.31240399532452856,Positive
11,7,Leka,Onøy og Lurøy,157.4595094087497,-1.598551802208016e-05,3,-0.1598551802208016,Negative
11,8,Leka,Lovund,145.90835605318503,5.698807854676162e-05,3,0.5698807854676162,Positive
