n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
4500,pevmean_ga,-1,0.021151642577225474,100,502.6502333305817,3,Selvær,4,1849893988,thr_tarsus,300,26617,124.72041284898296
500,pevmean_ga,-1,0.49161437020301313,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26551,56.732446670066565
1000,pevmean_ga,-1,0.3162187816743895,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26356,66.70011030696332
1500,pevmean_ga,-1,0.25156321646445484,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26521,76.19391867471859
2000,pevmean_ga,-1,0.21023490218524007,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26559,86.37502452638
2500,pevmean_ga,-1,0.18282547272337724,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26693,95.4604290346615
3000,pevmean_ga,-1,0.16578678926966361,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26717,105.19501765305176
3500,pevmean_ga,-1,0.14962009432350756,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26653,114.20568697992712
4000,pevmean_ga,-1,0.1382346937103486,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26550,124.76809030026197
4500,pevmean_ga,-1,0.12899009550619037,100,502.6502333305817,4,Gjerøy,0,1623418790,thr_tarsus,300,26487,131.97182091418654
500,pevmean_ga,-1,0.47314526630512305,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26617,56.972988625988364
1000,pevmean_ga,-1,0.32170685116725367,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26698,66.63873268896714
1500,pevmean_ga,-1,0.24936619033023244,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26648,76.71774019673467
2000,pevmean_ga,-1,0.2109365552304584,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26592,86.62881646119058
2500,pevmean_ga,-1,0.1835694033768944,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26606,95.60207316093147
3000,pevmean_ga,-1,0.16553658066006208,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26634,105.11402252409607
3500,pevmean_ga,-1,0.1492262493097478,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26584,115.85773932235315
4000,pevmean_ga,-1,0.1383891201259334,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26634,125.41296318592504
4500,pevmean_ga,-1,0.1289986472475653,100,502.6502333305817,4,Gjerøy,1,1639125088,thr_tarsus,300,26447,128.47601625323296
500,pevmean_ga,-1,0.47802365564347277,100,502.6502333305817,4,Gjerøy,2,1056172817,thr_tarsus,300,26329,57.18835107982159
