target_island,target_island_name,repeat,repeat_seed,trait,model,weight_scheme,order_seed,weighted_fit_used,analysis,method,n_individuals,corr_eval,mse_adj
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,3500,0.2568136423227545,1.2809343338012695
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,4000,0.2188799365696625,1.2980413436889648
0,Nesøy,1,1014,body_mass,ridge_tmc_individual,none,4,False,ranked_subset,random_individual,4500,0.2312680065387504,1.2899163961410522
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-2,False,full_baseline,full_source_unweighted,5578,0.1833772017159561,1.314881443977356
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,50,0.2020348058019521,1.2652325630187988
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,100,0.1657630954601535,1.2883096933364868
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,250,0.1866867842366275,1.2704275846481323
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,500,0.1899244154593949,1.2721549272537231
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,1000,0.162761766392934,1.310798168182373
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,1500,0.1600258635703043,1.3194355964660645
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,2000,0.148559767377345,1.326662540435791
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,2500,0.1513510282704609,1.3299287557601929
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,3000,0.1496128461608168,1.332793116569519
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,3500,0.1558246446148072,1.322068214416504
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,4000,0.1670395923662369,1.305740237236023
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,-1,False,ranked_subset,tmc_shapley_topk,4500,0.1769894539370676,1.3011070489883425
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,50,-0.0645505042329275,1.3472243547439575
0,Nesøy,2,2014,body_mass,ridge_tmc_individual,none,0,False,ranked_subset,random_individual,100,0.0970737562290337,1.329517126083374
